Title,Image,Price,Discount,Special Price,Link,Rating
"amazon basics - 12W Smart LED Bulb with Alexa, Google Assistant & Wi-Fi Enabled (Pack of 1, Multicolour, B22 Holder)",https://m.media-amazon.com/images/I/41kAJ-7f+sL._SL160_.jpg,1199,59%,489,https://dealsheaven.in/deal/amazon-basics-12w-smart-led-bulb-with-alexa-google-assistant-wi-fi-enabled-pack-of-1-multicolour-b22-holder,0.0
"GM 3060 E-Book 4 + 1 Power Strip with Master Switch, Indicator, Safety Shutter & 4 international sockets",https://m.media-amazon.com/images/I/519RgXY+lRL._SL500_.jpg,499,20%,399,https://dealsheaven.in/deal/gm-3060-e-book-4-1-power-strip-with-master-switch-indicator-safety-shutter-4-international-sockets,0.0
Havells Ambrose BLDC 1200mm Ceiling Fan (Pearl White Wood),https://m.media-amazon.com/images/I/21OodBuwE5L._SL160_.jpg,5880,54%,2699,https://dealsheaven.in/deal/apply-coupon-havells-ambrose-bldc-1200mm-ceiling-fan-pearl-white-wood,0.0
"ZEBRONICS AC32FHD LED Curved 75Hz 80Cm (32) (81.28 Cm) 1920x1080 Pixels FHD Resolution Monitor with HDMI + VGA Dual Input, Built-in Speaker, Max 250 Nits Brightness, Black",https://m.media-amazon.com/images/I/41USEYASrML._SL160_.jpg,29999,65%,10499,https://dealsheaven.in/deal/zebronics-ac32fhd-led-curved-75hz-80cm-32-8128-cm-1920x1080-pixels-fhd-resolution-monitor-with-hdmi-vga-dual-input-built-in-speaker-max-250-nits-brightness-black,0.0
"Lifelong ZenCharge 20000 mAh 22.5 W Compact Pocket Size Power Bank with 6 Input/Output Port (Purple, Lithium Polymer, Fast Charging, Quick Charge 3.0 for Mobile, Earbuds, Smartwatch, Speaker, Tablet)",https://m.media-amazon.com/images/I/41LCNZcV9PL._SL160_.jpg,3999,60%,1599,https://dealsheaven.in/deal/lifelong-zencharge-20000-mah-225-w-compact-pocket-size-power-bank-with-6-inputoutput-port-purple-lithium-polymer-fast-charging-quick-charge-30-for-mobile-earbuds-smartwatch-speaker-tablet,0.0
FCUK SS21 Digital Black Dial Unisex-Adult Watch-FCUK007E,https://m.media-amazon.com/images/I/31qzWlVzgsS._SL160_.jpg,3110,74%,799,https://dealsheaven.in/deal/fcuk-ss21-digital-black-dial-unisex-adult-watch-fcuk007e,0.0
French Connection Sports Digital Black Dial Unisex-Adult Watch-L19-A,https://m.media-amazon.com/images/I/41Mv6C2T-8L._SL160_.jpg,9995,90%,999,https://dealsheaven.in/deal/french-connection-sports-digital-black-dial-unisex-adult-watch-l19-a,0.0
Fossil Gen 6 Display Wellness Edition Black Smartwatch FTW4069,https://m.media-amazon.com/images/I/41lZQGdAXOL._SL160_.jpg,23995,62%,8995,https://dealsheaven.in/deal/fossil-gen-6-display-wellness-edition-black-smartwatch-ftw4069,0.0
Fossil Gen 6 Digital Black Dial Men's Watch-FTW4061,https://m.media-amazon.com/images/I/31zGo+8fi7L._SL160_.jpg,23995,62%,9095,https://dealsheaven.in/deal/fossil-gen-6-digital-black-dial-mens-watch-ftw4061,0.0
"Halonix 8.5 Watt B22 LED White Rechargeable Emergency light Inverter Bulb, Pack of 1",https://m.media-amazon.com/images/I/41F7rDhm1DL._SL160_.jpg,449,63%,165,https://dealsheaven.in/deal/halonix-85-watt-b22-led-white-rechargeable-emergency-light-inverter-bulb-pack-of-1,0.0
"Fire-Boltt ARC 49.8mm (1.96 inch) AMOLED Always On Curved Display Smart Watch, Bluetooth Calling, Wireless Charging, 100+ Sports Modes, Water-Resistant 100+ Cloud Watch Faces (Gun Metal Grey)",https://m.media-amazon.com/images/I/41gQN3MKefL._SL160_.jpg,19999,91%,1699,https://dealsheaven.in/deal/fire-boltt-arc-498mm-196-inch-amoled-always-on-curved-display-smart-watch-bluetooth-calling-wireless-charging-100-sports-modes-water-resistant-100-cloud-watch-faces-gun-metal-grey,0.0
"Fire-Boltt 4G Pro Volte Calling Smart Watch- 2.02” TFT Display, 4G Nano-SIM GPS, Health Suite, Sports Modes, 400mAh Battery (Black)",https://m.media-amazon.com/images/I/41nfBUZO9-L._SL160_.jpg,19999,90%,1999,https://dealsheaven.in/deal/fire-boltt-4g-pro-volte-calling-smart-watch-202-tft-display-4g-nano-sim-gps-health-suite-sports-modes-400mah-battery-black,0.0
amazon basics Braided Usb Type C To Type C 60W Fast Charging Data Cable For Smartphone (Black 1.2 Meter),https://m.media-amazon.com/images/I/61bOC3EfMEL._SL1500_.jpg,599,78%,129,https://dealsheaven.in/deal/amazon-basics-braided-usb-type-c-to-type-c-60w-fast-charging-data-cable-for-smartphone-black-12-meter,0.0
"Amazon Basics 3-in-1 Type C USB to HDMI Adapter with 4K@30 Hz HDMI Fast Charging Port, and USB A 3.0@5 Gbps, for MacBook Pro, Air, Windows, Laptop, iPad, Tablet, and Smartphone",https://m.media-amazon.com/images/I/41fUay1JyKL._SL160_.jpg,2449,69%,739,https://dealsheaven.in/deal/amazon-basics-3-in-1-type-c-usb-to-hdmi-adapter-with-4k-at-30-hz-hdmi-fast-charging-port-and-usb-a-30-at-5-gbps-for-macbook-pro-air-windows-laptop-ipad-tablet-and-smartphone,0.0
Philips GC1905 1440-Watt Steam Iron with Spray (Blue),https://m.media-amazon.com/images/I/41Xp77o+-YL._SL160_.jpg,2295,39%,1399,https://dealsheaven.in/deal/philips-gc1905-1440-watt-steam-iron-with-spray,0.0
"[Coupon + bank offer] Whirlpool 235 L 2 Star Frost Free Double Door Refrigerator (NEO DF278 PRM RADIANT STEEL(2S)-TL, 2024 Fridge Model)",https://m.media-amazon.com/images/I/31iTk2FjQrL._SL160_.jpg,30200,33%,19990,https://dealsheaven.in/deal/whirlpool-235-l-2-star-frost-free-double-door-refrigerator-neo-df278-prm-radiant-steel2s-tl-2024-fridge-model,0.0
"[Apply coupon + Bank offer] Samsung 653 L 3 Star Frost Free Convertible 5In1, Digital Inverter Wi-Fi Enabled Side by Side Refrigerator (RS76CG8003B1HL, Black Matt, 2023 Model)",https://m.media-amazon.com/images/I/31LAqLXYg-L._SL160_.jpg,121000,43%,68740,https://dealsheaven.in/deal/samsung-653-l-3-star-frost-free-convertible-5in1-digital-inverter-wi-fi-enabled-side-by-side-refrigerator-rs76cg8003b1hl-black-matt-2023-model,0.0
Godrej Security Solutions Forte Pro 15 Litres Safe Locker for Home & Office with Mechanical Key Lock (Grey),https://m.media-amazon.com/images/I/31T98mhQwsL._SL160_.jpg,10299,29%,7299,https://dealsheaven.in/deal/godrej-security-solutions-forte-pro-15-litres-safe-locker-for-home-office-with-mechanical-key-lock-grey,0.0
